plant,cohort,co.num,species,latex,#stems,obs.date,height,#leaves ,stemdia,notes
1,April,4,A. speciosa,Y,1,3-Jul-14,45,28,5.5,
2,April,4,A. speciosa,Y,1,3-Jul-14,24,18,3.4,
3,April,4,A. speciosa,Y,2,3-Jul-14,"15,25","12,18","4.3, 3.4",
4,April,4,A. speciosa,Y,1,3-Jul-14,23,20,4.5,
5,April,4,A. speciosa,Y,1,3-Jul-14,23,18,3.6,
6,April,4,A. speciosa,Y,1,3-Jul-14,25,20,3.6,
7,April,4,A. speciosa,Y,1,3-Jul-14,32,18,4.8,
8,April,4,A. speciosa,Y,1,3-Jul-14,31,20,6.5,
9,April,4,A. speciosa,Y,1,3-Jul-14,37,22,5.5,
10,April,4,A. speciosa,Y,1,3-Jul-14,33,21,4.4,
11,April,4,A. speciosa,Y,1,3-Jul-14,23,14,5,
12,April,4,A. speciosa,Y,1,3-Jul-14,29,23,3.4,
13,April,4,A. speciosa,Y,1,3-Jul-14,34,24,4.6,
14,April,4,A. speciosa,Y,1,3-Jul-14,28,24,4.3,
15,April,4,A. speciosa,Y,1,3-Jul-14,30,22,3.7,
16,April,4,A. speciosa,Y,1,3-Jul-14,40,25,6.8,
17,April,4,A. speciosa,Y,1,3-Jul-14,40,22,5.3,
18,April,4,A. speciosa,Y,1,3-Jul-14,37,24,4.5,
19,April,4,A. fascicularis,Y,3,3-Jul-14,"48,41,13","52,40,17","3.4, 4, 2",
20,April,4,A. fascicularis,Y,5,3-Jul-14,"43,32,26,23,11","60,42,39,38,20","3.1, 3.6, 1.4, 2.1, 2.7",
21,April,4,A. fascicularis,Y,3,3-Jul-14,"78,33,24","43,36,28","5, 2.7, 2.8",
22,April,4,A. fascicularis,Y,4,3-Jul-14,"56,42,34,11","22,45,43,11","3.3, 3.7, 2.5, 1",
23,April,4,A. fascicularis,Y,3,3-Jul-14,"48,39,21","44,39,27","3, 3.4, 1.9",
24,April,4,A. fascicularis,Y,4,3-Jul-14,"52,43,33,15","39,41,39,16","3, 2.4, 3, 2.6",
25,April,4,A. fascicularis,Y,5,3-Jul-14,"44,32,22,21,20","39,32,27,23,25","3.5, 2.4, 2.8, 2.2",
26,April,4,A. fascicularis,Y,4,3-Jul-14,"72,38,15,16","42,26,18,20","2.7, 4.3, 1.8, 2",
27,April,4,A. fascicularis,Y,3,3-Jul-14,"57,44,27","45,43,32","4.7, 3.3, 2.6",
28,April,4,A. fascicularis,Y,5,3-Jul-14,"49,23,17,13,9","61,23,17,12,12","4.3, 1.3, 2, 1.8, 2.8",
29,April,4,A. fascicularis,Y,6,3-Jul-14,"8,6,9,5,5,5","12,12,9,10,10,10","1.2, .5, .6, 1.3, .8, .7, .7, 1.2, .9",
30,April,4,A. fascicularis,Y,6,3-Jul-14,"31, 18,18,10,5,4","29,32,27,10,10,6","1.4, 1.4, 2.6, 1.2, 4.6, 2.8",flowering
31,April,4,A. fascicularis,Y,6,3-Jul-14,"36,24,23,14,6,5","50,28,24,13,10,4",".9, .9, 2.6, 2.2, 3.3, 2.1",
32,April,4,A. fascicularis,Y,2,3-Jul-14,"54,32","41,45","3.7, 3.1",
33,April,4,A. fascicularis,Y,4,3-Jul-14,"37,21,19,18","116,17,17,17","4.1, 2.1, 2.6, 1.8, 2.2, 3.0, 1.5",
34,April,4,A. fascicularis,Y,4,3-Jul-14,"62,37,21,16","46,28,24,20","4.4, 2.4, 1.7, 2.1",flowering
35,April,4,A. fascicularis,Y,4,3-Jul-14,"66,41,20,16","64,47,29,21","2.8, 2.2, 4.8, 2.1",
36,April,4,A. fascicularis,Y,5,3-Jul-14,"40,27,25,17,7","47,31,35,18,12","4.3, 3.7, 3.1, 1.8",
37,May,5,A. speciosa,Y,1,3-Jul-14,21,16,3.7,
38,May,5,A. speciosa,Y,1,3-Jul-14,16,12,3.1,
